CustomerID,Recency,Frequency,MonetaryValue,Tenure,AvgDaysBetweenPurchases,Age,Gender,Country,UniqueProductsCount
12346,326,2,0.0,0,0.0,34.5,M,United Kingdom,1
12347,2,7,615.7142857142857,365,52.142857142857146,37.21978021978022,M,Iceland,103
12348,75,4,449.31,282,70.5,38.12903225806452,M,Finland,22
12349,19,1,1757.55,0,0.0,36.06849315068493,M,Italy,73
12350,310,1,334.4,0,0.0,32.05882352941177,M,Norway,17
12352,36,11,140.4918181818182,260,23.636363636363637,37.63157894736842,M,Norway,59
12353,204,1,89.0,0,0.0,38.5,M,Bahrain,4
12354,232,1,1079.4,0,0.0,37.51724137931034,M,Spain,58
12355,214,1,459.4,0,0.0,34.15384615384615,M,Bahrain,13
12356,23,3,937.1433333333333,302,100.66666666666667,38.40677966101695,M,Portugal,53
12357,33,1,6207.67,0,0.0,37.43511450381679,M,Switzerland,131
12358,2,2,584.03,149,74.5,35.36842105263158,M,Austria,13
12359,8,6,1040.9216666666666,323,53.833333333333336,36.196850393700785,M,Cyprus,214
12360,52,3,887.3533333333334,148,49.333333333333336,37.25581395348837,M,Austria,105
12361,287,1,189.9,0,0.0,36.2,M,Belgium,10
12362,3,13,396.50615384615384,292,22.46153846153846,37.48540145985402,M,Belgium,201
12363,110,2,276.0,132,66.0,31.043478260869566,M,Unspecified,23
12364,8,4,328.275,104,26.0,33.04705882352941,M,Belgium,70
12365,291,3,106.89666666666666,0,0.0,38.26086956521739,M,Cyprus,22
12367,4,1,168.9,0,0.0,35.81818181818182,M,Denmark,11
12370,51,4,886.4225,309,77.25,38.15568862275449,M,Cyprus,143
12371,45,2,943.98,14,7.0,38.095238095238095,M,Switzerland,63
12372,72,3,432.68,224,74.66666666666667,36.07692307692308,M,Denmark,34
12373,311,1,364.6,0,0.0,37.357142857142854,M,Austria,14
12374,25,1,742.9300000000001,0,0.0,38.78787878787879,M,Austria,33
12375,3,3,151.80666666666667,95,31.666666666666668,41.0,M,Finland,14
12377,315,2,814.06,39,19.5,35.506493506493506,M,Switzerland,72
12378,130,1,4008.62,0,0.0,36.58447488584475,M,Switzerland,219
12379,82,3,283.43,88,29.333333333333332,36.829268292682926,M,Belgium,39
12380,22,5,544.112,164,32.8,35.17142857142857,M,Belgium,77
12381,5,6,300.66,115,19.166666666666668,36.64835164835165,M,Norway,70
12383,185,6,306.5516666666667,167,27.833333333333332,36.72,M,Belgium,84
12384,29,3,188.72,92,30.666666666666668,34.46666666666667,M,Switzerland,26
12386,338,2,200.95,29,14.5,37.4,M,Australia,10
12388,16,6,463.4433333333333,311,51.833333333333336,37.99,M,Australia,57
12390,80,1,549.84,0,0.0,37.03125,M,Belgium,32
12391,22,1,460.89,0,0.0,35.49,M,Cyprus,92
12393,72,4,395.65000000000003,260,65.0,37.546875,M,Australia,47
12394,64,2,636.24,153,76.5,35.666666666666664,M,Belgium,26
12395,16,15,199.88533333333334,355,23.666666666666668,35.76100628930818,M,Belgium,91
12397,36,2,1204.95,99,49.5,36.98412698412698,M,Belgium,110
12398,46,1,1635.6599999999999,0,0.0,35.90588235294118,M,Switzerland,85
12399,119,4,277.1625,142,35.5,37.0,M,Belgium,47
12401,303,1,84.3,0,0.0,41.2,M,Belgium,5
12402,323,1,225.6,0,0.0,33.27272727272727,M,Belgium,11
12403,50,2,204.85,0,0.0,38.833333333333336,M,Denmark,5
12405,149,1,1710.39,0,0.0,35.22222222222222,M,Finland,54
12406,22,3,1093.5833333333333,161,53.666666666666664,35.5,M,Denmark,92
12407,50,5,341.624,214,42.8,33.51948051948052,M,Belgium,57
12408,33,9,315.8411111111111,227,25.22222222222222,36.63716814159292,M,Belgium,81
12409,79,7,1579.5614285714287,103,14.714285714285714,36.50877192982456,M,Switzerland,91
12410,301,3,227.02666666666664,7,2.3333333333333335,38.107142857142854,M,Switzerland,26
12412,75,3,408.96000000000004,94,31.333333333333332,37.81967213114754,M,Denmark,43
12413,67,5,138.82999999999998,270,54.0,34.8,M,France,29
12414,217,3,187.47,93,31.0,35.27777777777778,M,Austria,16
12415,24,26,4758.671153846154,313,12.038461538461538,36.27634961439589,M,Australia,444
12417,3,12,298.23333333333335,354,29.5,34.833333333333336,M,Belgium,158
12418,113,1,668.58,0,0.0,33.911764705882355,M,Switzerland,34
12420,64,1,600.39,0,0.0,32.51724137931034,M,Cyprus,29
12421,16,5,161.254,303,60.6,34.93478260869565,M,Spain,33
12422,96,3,267.85333333333335,229,76.33333333333333,36.256410256410255,M,Australia,39
12423,1,9,205.45666666666665,352,39.111111111111114,34.388888888888886,M,Belgium,97
12424,163,2,880.48,0,0.0,38.13333333333333,M,Australia,30
12425,78,1,777.2,0,0.0,35.44444444444444,M,Portugal,36
12426,195,1,582.73,0,0.0,38.06666666666667,M,Germany,30
12427,12,5,141.674,360,72.0,37.42857142857143,M,Germany,26
12428,26,12,656.4333333333333,257,21.416666666666668,36.31333333333333,M,Finland,258
12429,9,4,937.6,356,89.0,34.28865979381443,M,Denmark,82
12430,43,1,256.4,0,0.0,32.90909090909091,M,Norway,11
12431,36,18,356.4661111111111,338,18.77777777777778,37.05,M,Australia,163
12432,43,5,1011.8639999999999,129,25.8,36.675925925925924,M,Norway,107
12433,1,7,1910.8385714285716,372,53.142857142857146,36.27142857142857,M,Norway,219
12434,85,4,191.2975,276,69.0,39.592592592592595,M,Australia,49
12435,80,2,3914.945,188,94.0,39.416666666666664,M,Denmark,31
12436,100,1,509.01,0,0.0,39.0625,M,Norway,16
12437,2,19,257.718947368421,329,17.31578947368421,36.830845771144276,M,France,119
12438,14,2,1453.425,125,62.5,37.05102040816327,M,Norway,84
12441,367,1,173.55,0,0.0,37.54545454545455,M,France,11
12442,3,1,172.06,0,0.0,33.75,M,Spain,12
12444,21,5,1001.092,149,29.8,35.90395480225989,M,Norway,138
12445,22,1,133.4,0,0.0,32.0,M,Spain,4
12446,58,1,1002.3100000000001,0,0.0,37.39655172413793,M,RSA,58
12447,243,1,476.49,0,0.0,36.5,M,Belgium,26
12448,44,1,449.45,0,0.0,36.0,M,Spain,22
12449,22,4,1016.8225,164,41.0,37.12565445026178,M,Belgium,118
12450,156,2,98.94,17,8.5,35.25,M,Spain,7
12451,11,6,1488.92,313,52.166666666666664,36.63661971830986,M,Switzerland,265
12452,17,3,142.85666666666665,0,0.0,33.69565217391305,M,Switzerland,21
12453,134,1,707.09,0,0.0,37.72093023255814,M,Austria,43
12454,53,2,2.842170943040401e-14,2,1.0,39.3,M,Spain,15
12455,73,6,411.1433333333334,223,37.166666666666664,35.06666666666667,M,Spain,85
12456,44,4,788.4725,210,52.5,36.91472868217054,M,Switzerland,105
12457,58,12,159.815,180,15.0,36.5,M,Switzerland,53
12458,71,2,473.7,213,106.5,37.1578947368421,M,Switzerland,35
12461,94,2,413.44,60,30.0,37.31428571428572,M,Switzerland,35
12462,2,4,281.0025,300,75.0,34.875,M,Spain,51
